director_name,actor_1_name,actor_2_name,actor_3_name,genres,language,imdb_score,movie_title
Tomas Alfredson,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,English,7.1,tinker tailor soldier spy
John Duigan,Elaine Hendrix,Jill Hennessy,Sarah Wynter,Comedy Drama Romance,English,5.8,molly
Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,Drama,English,6.7,the beaver
Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,Comedy Musical,English,5.8,the best little whorehouse in texas
David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,Horror Sci-Fi Thriller,English,6.8,existenz
Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,English,8.5,raiders of the lost ark
Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,English,6.6,home alone 2: lost in new york
Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,Drama Sci-Fi,English,7.7,close encounters of the third kind
Jim Sonzero,Ian Somerhalder,Christina Milian,Rick Gonzalez,Drama Horror Sci-Fi Thriller,English,4.7,pulse
Tony Scott,Dean Stockwell,Judge Reinhold,Ronny Cox,Action Comedy Crime Thriller,English,6.4,beverly hills cop ii
Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,English,5.5,bringing down the house
Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,Crime Drama Horror Thriller,English,8.6,the silence of the lambs
Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,Comedy Music,English,7.0,wayne's world
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,English,7.1,jackass 3d
Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,Adventure Horror Thriller,English,5.7,jaws 2
Raja Gosnell,Jamie Lee Curtis,Nick Zano,Ali Hillis,Adventure Comedy Drama Family Romance,English,3.7,beverly hills chihuahua
James Wan,Mackenzie Foy,Lili Taylor,Hayley McFarland,Horror Mystery Thriller,English,7.5,the conjuring
Brian Levant,Nia Long,Tracy Morgan,Jay Mohr,Adventure Comedy Family Romance,English,4.6,are we there yet?
Ben Falcone,Gary Cole,Mark Duplass,Ben Falcone,Comedy,English,4.9,tammy
D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,English,6.9,disturbia
Richard Linklater,Miranda Cosgrove,Sarah Silverman,Mike White,Comedy Music,English,7.1,school of rock
Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,English,5.8,mortal kombat
Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,Drama Mystery Romance Thriller,English,7.0,wicker park
Keenen Ivory Wayans,Busy Philipps,Jaime King,Brittany Daniel,Comedy Crime,English,5.4,white chicks
Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,Comedy Drama,English,7.3,the descendants
Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,English,7.1,holes
Julie Anne Robinson,Kelly Preston,Bobby Coleman,Melissa Ordway,Drama Family Music Romance,English,5.8,the last song
Steve McQueen,Quvenzhané Wallis,Scoot McNairy,Taran Killam,Biography Drama History,English,8.1,12 years a slave
Charles Stone III,Leonard Roberts,Nick Cannon,Jason Weaver,Comedy Drama Music Romance,English,5.7,drumline
Tyler Perry,Michael Jai White,Cicely Tyson,Tasha Smith,Comedy Drama Romance,English,4.4,why did i get married too?
Tim Burton,Johnny Depp,Dianne Wiest,Conchata Ferrell,Fantasy Romance,English,7.9,edward scissorhands
Thea Sharrock,Sam Claflin,Emilia Clarke,Brendan Coyle,Drama Romance,English,7.6,me before you
Tyler Perry,John Amos,Tom Arnold,Romeo Miller,Comedy Crime Drama,English,4.8,madea's witness protection
William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action Crime Drama Thriller,English,7.8,the french connection
Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy,English,6.7,bad moms
Aaron Seltzer,Alyson Hannigan,Carmen Electra,Fred Willard,Comedy Romance,English,2.7,date movie
Robin Budd,Roger Rees,Rob Paulsen,Spencer Breslin,Adventure Animation Family Fantasy,English,5.8,return to never land
Ava DuVernay,David Oyelowo,Tom Wilkinson,Oprah Winfrey,Biography Drama History,English,7.5,selma
Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,Adventure Animation Family Musical,English,5.4,the jungle book 2
Stephen Kay,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Drama Horror Mystery Thriller,English,4.1,boogeyman
Mennan Yapo,Nia Long,Amber Valletta,Marc Macaulay,Drama Mystery Thriller,English,5.9,premonition
Jun Falkenstein,Kath Soucie,John Fiedler,Ken Sansom,Animation Comedy Drama Family Musical,English,6.3,the tigger movie
Jaume Collet-Serra,Jimmy Bennett,CCH Pounder,Aryana Engineer,Horror Mystery Thriller,English,7.0,orphan
Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,Adventure Family,English,6.8,max
unknown,Lamman Rucker,David Mann,Denise Boutte,Comedy,English,3.5,meet the browns            
Jason Friedberg,David Carradine,Carmen Electra,Fred Willard,Adventure Comedy,English,2.3,epic movie
John Milius,William Smith,Mako,Sandahl Bergman,Adventure Fantasy,English,6.9,conan the barbarian
Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,Biography Crime Drama History,English,8.1,spotlight
Neil LaBute,Jay Hernandez,Justin Chambers,Robert Pine,Crime Drama Thriller,English,6.1,lakeview terrace
Takashi Shimizu,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,Horror Thriller,English,5.0,the grudge 2
Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,Comedy Drama Romance,English,5.5,how stella got her groove back
Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter,Adventure Comedy Fantasy Music Sci-Fi,English,6.2,bill & ted's bogus journey
Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,Comedy Drama Romance Thriller,English,6.2,man of the year
Gary Nelson,Robert Forster,Maximilian Schell,Yvette Mimieux,Action Sci-Fi,English,5.9,the black hole
Anton Corbijn,Violante Placido,Thekla Reuten,Filippo Timi,Crime Drama Thriller,English,6.3,the american
Gregory Nava,Jon Seda,Constance Marie,Jacob Vargas,Biography Drama Music,English,6.7,selena
Jason Friedberg,Diedrich Bader,Dave Foley,Anneliese van der Pol,Comedy,English,3.5,vampires suck
Alejandro G. Iñárritu,Brad Pitt,Harriet Walter,Dermot Crowley,Drama,English,7.5,babel
Shawn Levy,Tina Fey,Abigail Spencer,Jane Fonda,Comedy Drama,English,6.6,this is where i leave you
John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,Drama Mystery,English,7.5,doubt
Trey Parker,Jeremy Shada,Maurice LaMarche,Trey Parker,Action Comedy,English,7.2,team america: world police
John Luessenhop,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,Horror Thriller,English,4.8,texas chainsaw 3d
Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,Crime Drama Mystery Thriller,English,6.6,copycat
Malcolm D. Lee,Marisa Saks,Snoop Dogg,Molly Shannon,Comedy,English,3.5,scary movie 5
Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston,Comedy Drama Musical Romance Western,English,6.7,paint your wagon
Gus Van Sant,James Franco,Denis O'Hare,Lucas Grabeel,Biography Drama History,English,7.6,milk
Kevin Reynolds,Peter Firth,Jan Cornet,María Botto,Action Adventure Drama Mystery,English,6.3,risen
Steve Beck,Isaiah Washington,Ron Eldard,Francesca Rettondini,Horror,English,5.5,ghost ship
Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,Adventure Comedy,English,6.3,a very harold & kumar 3d christmas
John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,Crime Drama Mystery Thriller,English,6.5,wild things
Nelson McCormick,Sela Ward,Paige Turco,Skyler Samuels,Crime Thriller,English,5.6,the stepfather
John Madden,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,Drama Thriller,English,6.9,the debt
Stephen Frears,Drake Bell,Lili Taylor,Lisa Bonet,Comedy Drama Music Romance,English,7.6,high fidelity
Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,Horror Mystery,English,3.9,one missed call
John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,English,6.1,eye for an eye
Roger Donaldson,Jason Statham,Saffron Burrows,Daniel Mays,Crime Drama Romance Thriller,English,7.3,the bank job
Michel Gondry,Kate Winslet,Kirsten Dunst,Tom Wilkinson,Drama Fantasy Romance Sci-Fi,English,8.3,eternal sunshine of the spotless mind
Andy Fickman,Jamie Lee Curtis,James Wolk,Christine Lakin,Comedy Family Romance,English,5.8,you again
David Ayer,Keanu Reeves,Chris Evans,Noel Gugliemi,Action Crime Drama Thriller,English,6.8,street kings
Edgar Wright,Michael Smiley,Thomas Law,Jasper Levine,Action Comedy Sci-Fi,English,7.0,the world's end
Andrew Fleming,Kay Panabaker,Laura Harring,Tate Donovan,Comedy Crime Family Mystery Romance Thriller,English,5.9,nancy drew
Michael Spierig,Jay Laga'aia,Damien Garvey,Tiffany Lamb,Action Horror Sci-Fi Thriller,English,6.5,daybreakers
Jim Field Smith,Mike Vogel,Kim Shaw,Geoff Stults,Comedy Romance,English,6.4,she's out of my league
Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,Adventure Comedy Family Romance,English,5.8,monte carlo
William Brent Bell,Adam Goldberg,Frankie Muniz,Samaire Armstrong,Horror Thriller,English,5.1,stay alive
Simon Wincer,Alan Rickman,Tom Selleck,Ben Mendelsohn,Action Adventure Drama Romance Western,English,6.8,quigley down under
Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,Adventure Animation Comedy Family Romance,English,5.3,alpha and omega
Renny Harlin,Laura Ramsey,Kyle Schmid,Toby Hemingway,Action Fantasy Horror Thriller,English,5.3,the covenant
Jessica Bendinger,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,Comedy Drama Sport,English,6.4,stick it
Robert Rodriguez,Jimmy Bennett,Leo Howard,Jake Short,Comedy Family Fantasy,English,4.9,shorts
Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,Comedy Crime Drama,English,6.8,to die for
Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,Adventure Crime Mystery Sci-Fi Thriller,English,7.1,nerve
Ed Harris,Viggo Mortensen,James Gammon,Tom Bower,Crime Drama Western,English,6.8,appaloosa
John Carpenter,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,Action Horror Thriller,English,6.1,vampires
unknown,Pablo Sevilla,unknown,unknown,Action Adventure Animation Family Fantasy,Japanese,7.0,yu-gi-oh! duel monsters            
Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,Horror Mystery Thriller,English,8.5,psycho
Howard Deutch,Dane Cook,Taran Killam,Riki Lindhome,Comedy Romance,English,5.9,my best friend's girl
Shana Feste,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,Drama Romance,English,6.3,endless love
Garry Marshall,Hector Elizondo,Zachary Gordon,Jane Fonda,Comedy Drama,English,5.9,georgia rule
Steve Rash,Mako,Adam Arkin,Billy Barty,Comedy,English,5.4,under the rainbow
Richard Donner,Matthew Broderick,John Wood,Leo McKern,Adventure Comedy Drama Fantasy,English,7.0,ladyhawke
Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey,Comedy Drama Family,English,6.9,simon birch
Mike Binder,Adam Sandler,Don Cheadle,John de Lancie,Drama,English,7.5,reign over me
Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook,Adventure Biography Drama,English,8.2,into the wild
Todd Phillips,Jon Heder,Sarah Silverman,Jacinda Barrett,Comedy,English,5.9,school for scoundrels
Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,Adventure Drama Horror Mystery Thriller,English,5.0,silent hill: revelation 3d
Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,Crime Fantasy Horror,English,7.3,from dusk till dawn
Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,Animation Family Fantasy Mystery,English,6.4,pooh's heffalump movie
Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,English,6.6,home for the holidays
Stephen Chow,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,Action Comedy Crime Fantasy,Cantonese,7.8,kung fu hustle
unknown,Leah Remini,Mark Feuerstein,Sharon Lawrence,Comedy,English,6.7,fired up            
Peter Hastings,Haley Joel Osment,Alex Rocco,Stephen Root,Comedy Family Music Musical,English,4.0,the country bears
Marc Forster,Mustafa Haidari,Shaun Toub,Khalid Abdalla,Drama,Dari,7.6,the kite runner
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,Drama,English,7.7,21 grams
Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,Action Crime Drama Thriller,English,5.8,paparazzi
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,Drama Fantasy Romance,English,5.2,twilight
Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,Comedy Romance,English,5.6,a guy thing
Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,Comedy Romance,English,5.3,loser
Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,Crime Documentary News,English,7.4,capitalism: a love story
George Stevens,Martin Landau,Carroll Baker,José Ferrer,Biography Drama History,English,6.6,the greatest story ever told
Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,Crime Drama Mystery Thriller,English,6.2,secret in their eyes
Jason Friedberg,Carmen Electra,Tony Cox,Ike Barinholtz,Comedy,English,1.9,disaster movie
Nimród Antal,Andrew Fiscella,Fred Ward,Lorna Raver,Action Crime Thriller,English,5.7,armored
Jon Amiel,Bill Murray,Peter Gallagher,Joanne Whalley,Action Comedy Crime Thriller,English,6.6,the man who knew too little
Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,Comedy Romance,English,6.0,what's your number?
James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,Action Adventure Sci-Fi Thriller,English,6.1,lockout
Barry Levinson,Amy Poehler,Ariel Gade,Sam Lerner,Comedy,English,4.8,envy
Mark Neveldine,Jason Statham,Clifton Collins Jr.,David Carradine,Action Crime Sci-Fi Thriller,English,6.2,crank: high voltage
Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,Comedy Crime,English,7.5,bullets over broadway
Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,Biography Drama History,English,6.3,one night with the king
Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,Drama Mystery Romance Thriller War,English,7.1,the quiet american
Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,Comedy Drama,English,6.6,the weather man
Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,Action Crime Drama Sport,English,6.1,undisputed
David Koepp,Aasif Mandvi,Dequina Moore,Jordan Carlos,Comedy Drama Fantasy Romance,English,6.7,ghost town
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,Action Crime Thriller,English,5.6,12 rounds
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,Drama Fantasy Horror Mystery,English,7.2,let me in
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,Action Comedy Family,English,4.3,3 ninjas kick back
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,Comedy,English,6.4,be kind rewind
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,Comedy Drama Music War,English,7.1,mrs henderson presents
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,Action Crime Drama Thriller,English,6.3,triple 9
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,Comedy,English,7.4,deconstructing harry
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,Comedy Romance,English,6.1,three to tango
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,Comedy Drama,English,6.6,burnt
Neil Jordan,Robert De Niro,Demi Moore,James Russo,Comedy Crime,English,6.0,we're no angels
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,Comedy Musical Romance,English,6.8,everyone says i love you
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,English,7.4,death at a funeral
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,Action Crime Thriller,English,6.8,death sentence
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,Adventure Drama,English,7.2,everybody's fine
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,Comedy Family Sci-Fi,English,1.9,superbabies: baby geniuses 2
Les Mayfield,Miguel Ferrer,Susie Essman,Gigi Rice,Action Comedy Crime,English,5.5,the man
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,Action Comedy Crime,English,4.5,code name: the cleaner
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy Crime Music,English,6.3,connie and carla
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,Comedy Drama Music Musical Romance,English,7.0,sweet charity
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance,English,6.7,inherent vice
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy,English,2.8,doogal
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,Drama Music,English,5.0,battle of the year
unknown,LeVar Burton,Eric McCormack,Scott Wolf,Crime Drama Mystery Thriller,English,7.5,perception            
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,Comedy Fantasy,English,4.3,an american carol
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,Action Comedy Crime Thriller,English,5.6,machete kills
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,Drama Horror Sci-Fi Thriller,English,6.2,willard
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,English,5.3,strange wilderness
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,English,7.4,topsy-turvy
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama War,English,7.4,little boy
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller,English,6.5,a dangerous method
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,English,7.1,a scanner darkly
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,English,7.2,chasing mavericks
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,English,2.3,alone in the dark
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,English,6.4,bandslam
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,English,6.1,birth
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,English,7.0,a most violent year
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,English,6.5,passchendaele
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,English,7.0,flash of genius
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,English,7.0,i'm not there.
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,English,4.9,the cold light of day
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,English,6.9,the brothers bloom
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,English,7.5,"synecdoche, new york"
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,Japanese,8.4,princess mononoke
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,French,6.9,bon voyage
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,English,4.5,can't stop the music
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,English,7.4,the proposition
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,English,7.0,courage
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,English,2.8,marci x
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,English,7.5,equilibrium
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,English,7.1,the children of huang shi
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,English,6.4,the yards
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,English,6.7,the oogieloves in the big balloon adventure
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,English,5.3,by the sea
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,Japanese,6.9,steamboy
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,English,6.2,the game of their lives
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,English,6.3,all good things
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,English,6.4,rapa nui
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,Cantonese,6.5,cj7
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,French,6.0,les couloirs du temps: les visiteurs ii
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,English,5.1,dylan dog: dead of night
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,English,5.5,people i know
unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family,English,7.2,the doombolt chase            
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,English,5.4,the tempest
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,English,5.7,regression
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,English,5.2,the touch
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,Mandarin,6.2,three kingdoms: resurrection of the dragon
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,English,6.7,shattered
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,English,5.8,zambezia
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,English,7.0,ramanujan
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,English,4.8,dwegons and leprechauns
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,English,7.2,hands of stone
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,English,5.6,survivor
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,English,6.4,the frozen ground
John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,Mandarin,7.5,the painted veil
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,German,7.4,the baader meinhof complex
Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,English,8.0,dances with wolves
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,English,5.7,bad teacher
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,English,6.8,sea of love
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,English,5.9,a cinderella story
Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,English,7.2,scream
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,English,5.5,thir13en ghosts
Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,English,8.4,the shining
Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,English,8.5,back to the future
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,English,5.6,house on haunted hill
Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama,English,4.1,i can do bad all by myself
Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama,English,5.0,fight valley
Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance,English,6.1,the switch
Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance,English,5.4,just married
Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller,English,7.1,the devil's double
unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,English,6.6,"gone, baby, gone            "
Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,English,3.6,thomas and the magic railroad
Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,English,6.5,the crazies
Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,Japanese,8.6,spirited away
Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,Mandarin,6.2,firestorm
Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,English,7.0,the bounty
Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War,English,7.6,the book thief
Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,English,6.5,sex drive
Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance,English,6.4,leap year
Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,English,6.7,the fall of the roman empire
Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance,English,6.3,take me home tonight
Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,English,6.4,won't back down
Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music,English,5.7,the nutcracker
Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller,English,6.3,kansas city
James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,Hebrew,7.8,indignation
Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,English,6.0,the amityville horror
Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama,English,7.7,adaptation.
